,Stock,ML,MAPE,n_steps_in,n_steps_out,interval,samples_test
362,NEOE3,convLSTM1D,47.9,3,3,1d,15
363,NEOE3,convLSTM2D,46.0,3,3,1d,15
364,NTCO3,LSTM,4.1,3,3,1d,15
365,NTCO3,BidirectionalLSTM,17.6,3,3,1d,15
366,NTCO3,convLSTM1D,6.0,3,3,1d,15
367,NTCO3,convLSTM2D,12.3,3,3,1d,15
368,OIBR3,LSTM,17.3,3,3,1d,15
369,OIBR3,BidirectionalLSTM,7.9,3,3,1d,15
370,OIBR3,convLSTM1D,6.3,3,3,1d,15
371,OIBR3,convLSTM2D,19.9,3,3,1d,15
372,OMGE3,LSTM,4.8,3,3,1d,15
373,OMGE3,BidirectionalLSTM,8.4,3,3,1d,15
374,OMGE3,convLSTM1D,2.4,3,3,1d,15
375,OMGE3,convLSTM2D,3.9,3,3,1d,15
376,PSSA3,LSTM,15.8,3,3,1d,15
377,PSSA3,BidirectionalLSTM,29.8,3,3,1d,15
378,PSSA3,convLSTM1D,13.0,3,3,1d,15
379,PSSA3,convLSTM2D,6.9,3,3,1d,15
380,PCAR3,LSTM,9.7,3,3,1d,15
381,PCAR3,BidirectionalLSTM,11.1,3,3,1d,15
382,PCAR3,convLSTM1D,9.2,3,3,1d,15
383,PCAR3,convLSTM2D,25.7,3,3,1d,15
384,PFRM3,LSTM,2650.9,3,3,1d,15
385,PFRM3,BidirectionalLSTM,4639.0,3,3,1d,15
386,PFRM3,convLSTM1D,4185.0,3,3,1d,15
387,PFRM3,convLSTM2D,3461.6,3,3,1d,15
388,PETR3,LSTM,14.0,3,3,1d,15
389,PETR3,BidirectionalLSTM,7.5,3,3,1d,15
390,PETR3,convLSTM1D,7.6,3,3,1d,15
391,PETR3,convLSTM2D,18.6,3,3,1d,15
392,POMO3,LSTM,10.7,3,3,1d,15
393,POMO3,BidirectionalLSTM,10.7,3,3,1d,15
394,POMO3,convLSTM1D,11.7,3,3,1d,15
395,POMO3,convLSTM2D,12.8,3,3,1d,15
396,POSI3,LSTM,10.8,3,3,1d,15
397,POSI3,BidirectionalLSTM,9.3,3,3,1d,15
398,POSI3,convLSTM1D,34.7,3,3,1d,15
399,POSI3,convLSTM2D,44.8,3,3,1d,15
400,PRIO3,LSTM,15.3,3,3,1d,15
401,PRIO3,BidirectionalLSTM,7.0,3,3,1d,15
402,PRIO3,convLSTM1D,6.7,3,3,1d,15
403,PRIO3,convLSTM2D,30.0,3,3,1d,15
404,PTBL3,LSTM,4.5,3,3,1d,15
405,PTBL3,BidirectionalLSTM,4.3,3,3,1d,15
406,PTBL3,convLSTM1D,3.7,3,3,1d,15
407,PTBL3,convLSTM2D,15.6,3,3,1d,15
408,QUAL3,LSTM,6.1,3,3,1d,15
409,QUAL3,BidirectionalLSTM,3.7,3,3,1d,15
410,QUAL3,convLSTM1D,17.3,3,3,1d,15
411,QUAL3,convLSTM2D,4.7,3,3,1d,15
412,RADL3,LSTM,6.0,3,3,1d,15
413,RADL3,BidirectionalLSTM,4.7,3,3,1d,15
414,RADL3,convLSTM1D,3.9,3,3,1d,15
415,RADL3,convLSTM2D,16.1,3,3,1d,15
416,RAIL3,LSTM,9.4,3,3,1d,15
417,RAIL3,BidirectionalLSTM,6.8,3,3,1d,15
418,RAIL3,convLSTM1D,27.3,3,3,1d,15
419,RAIL3,convLSTM2D,23.9,3,3,1d,15
420,RAPT3,LSTM,3.6,3,3,1d,15
421,RAPT3,BidirectionalLSTM,6.7,3,3,1d,15
422,RAPT3,convLSTM1D,2.8,3,3,1d,15
423,RAPT3,convLSTM2D,11.4,3,3,1d,15
424,RLOG3,LSTM,14.1,3,3,1d,15
425,RLOG3,BidirectionalLSTM,31.3,3,3,1d,15
426,RLOG3,convLSTM1D,19.9,3,3,1d,15
427,RLOG3,convLSTM2D,26.4,3,3,1d,15
428,RENT3,LSTM,5.3,3,3,1d,15
429,RENT3,BidirectionalLSTM,3.4,3,3,1d,15
430,RENT3,convLSTM1D,6.4,3,3,1d,15
431,RENT3,convLSTM2D,21.3,3,3,1d,15
432,SANB11,LSTM,40.3,3,3,1d,15
433,SANB11,BidirectionalLSTM,33.4,3,3,1d,15
434,SANB11,convLSTM1D,15.8,3,3,1d,15
435,SANB11,convLSTM2D,30.5,3,3,1d,15
436,SAPR11,LSTM,30.9,3,3,1d,15
437,SAPR11,BidirectionalLSTM,23.8,3,3,1d,15
438,SAPR11,convLSTM1D,101.3,3,3,1d,15
439,SAPR11,convLSTM2D,75.4,3,3,1d,15
440,SBSP3,LSTM,17.1,3,3,1d,15
441,SBSP3,BidirectionalLSTM,5.8,3,3,1d,15
442,SBSP3,convLSTM1D,12.0,3,3,1d,15
443,SBSP3,convLSTM2D,16.2,3,3,1d,15
444,SHUL4,LSTM,4.0,3,3,1d,15
445,SHUL4,BidirectionalLSTM,7.0,3,3,1d,15
446,SHUL4,convLSTM1D,4.4,3,3,1d,15
447,SHUL4,convLSTM2D,5.4,3,3,1d,15
448,SMTO3,LSTM,8.8,3,3,1d,15
449,SMTO3,BidirectionalLSTM,5.5,3,3,1d,15
450,SMTO3,convLSTM1D,7.2,3,3,1d,15
451,SMTO3,convLSTM2D,14.4,3,3,1d,15
452,SQIA3,LSTM,21.4,3,3,1d,15
453,SQIA3,BidirectionalLSTM,20.6,3,3,1d,15
454,SQIA3,convLSTM1D,11.9,3,3,1d,15
455,SQIA3,convLSTM2D,8.8,3,3,1d,15
456,STBP3,LSTM,10.3,3,3,1d,15
457,STBP3,BidirectionalLSTM,6.7,3,3,1d,15
458,STBP3,convLSTM1D,9.4,3,3,1d,15
459,STBP3,convLSTM2D,16.3,3,3,1d,15
460,SULA3,LSTM,13.0,3,3,1d,15
461,SULA3,BidirectionalLSTM,9.5,3,3,1d,15
462,SULA3,convLSTM1D,5.2,3,3,1d,15
463,SULA3,convLSTM2D,6.2,3,3,1d,15
464,SUZB3,LSTM,7.4,3,3,1d,15
465,SUZB3,BidirectionalLSTM,4.1,3,3,1d,15
466,SUZB3,convLSTM1D,3.9,3,3,1d,15
467,SUZB3,convLSTM2D,21.5,3,3,1d,15
468,TASA3,LSTM,20.9,3,3,1d,15
469,TASA3,BidirectionalLSTM,28.9,3,3,1d,15
470,TASA3,convLSTM1D,5.7,3,3,1d,15
471,TASA3,convLSTM2D,22.5,3,3,1d,15
472,TCSA3,LSTM,16.2,3,3,1d,15
473,TCSA3,BidirectionalLSTM,6.7,3,3,1d,15
474,TCSA3,convLSTM1D,6.7,3,3,1d,15
475,TCSA3,convLSTM2D,11.0,3,3,1d,15
476,TGMA3,LSTM,19.8,3,3,1d,15
477,TGMA3,BidirectionalLSTM,17.5,3,3,1d,15
478,TGMA3,convLSTM1D,18.8,3,3,1d,15
