,Stock,ML,gain_pred,index_maximo_pred,n_steps_in,n_steps_out,interval,samples_test
208,ETER3,LSTM,0.0,0,21,5,1d,1
209,ETER3,BidirectionalLSTM,2.771636053919806,1,21,5,1d,1
210,ETER3,convLSTM1D,0.0,0,21,5,1d,1
211,ETER3,convLSTM2D,0.0,0,21,5,1d,1
212,EZTC3,LSTM,1.5587850448188418,0,21,5,1d,1
213,EZTC3,BidirectionalLSTM,2.381619619666982,1,21,5,1d,1
214,EZTC3,convLSTM1D,16.354277155814913,2,21,5,1d,1
215,EZTC3,convLSTM2D,16.046534109553065,3,21,5,1d,1
216,FESA4,LSTM,0.0,0,21,5,1d,1
217,FESA4,BidirectionalLSTM,6.920473064695083,0,21,5,1d,1
218,FESA4,convLSTM1D,0.0,0,21,5,1d,1
219,FESA4,convLSTM2D,0.0,0,21,5,1d,1
220,FHER3,LSTM,0.0,0,21,5,1d,1
221,FHER3,BidirectionalLSTM,0.0,0,21,5,1d,1
222,FHER3,convLSTM1D,0.0,0,21,5,1d,1
223,FHER3,convLSTM2D,0.0,0,21,5,1d,1
224,FLRY3,LSTM,7.718580877581252,4,21,5,1d,1
225,FLRY3,BidirectionalLSTM,8.674130176947427,0,21,5,1d,1
226,FLRY3,convLSTM1D,0.2647035690711789,3,21,5,1d,1
227,FLRY3,convLSTM2D,8.911005767452721,4,21,5,1d,1
228,GFSA3,LSTM,279.13434336454634,4,21,5,1d,1
229,GFSA3,BidirectionalLSTM,99.98279873161545,0,21,5,1d,1
230,GFSA3,convLSTM1D,25.235904917361268,1,21,5,1d,1
231,GFSA3,convLSTM2D,185.23321241717184,3,21,5,1d,1
232,GGBR3,LSTM,68.94390431661454,0,21,5,1d,1
233,GGBR3,BidirectionalLSTM,0.0,0,21,5,1d,1
234,GGBR3,convLSTM1D,17.787762672182104,2,21,5,1d,1
235,GGBR3,convLSTM2D,0.0,0,21,5,1d,1
236,GNDI3,LSTM,2.709282879817118,0,21,5,1d,1
237,GNDI3,BidirectionalLSTM,0.0,0,21,5,1d,1
238,GNDI3,convLSTM1D,0.0,0,21,5,1d,1
239,GNDI3,convLSTM2D,0.0,0,21,5,1d,1
240,GOAU3,LSTM,0.0,0,21,5,1d,1
241,GOAU3,BidirectionalLSTM,0.0,0,21,5,1d,1
242,GOAU3,convLSTM1D,2.3455673250658693,1,21,5,1d,1
243,GOAU3,convLSTM2D,0.0,0,21,5,1d,1
244,GOLL4,LSTM,0.0,0,21,5,1d,1
245,GOLL4,BidirectionalLSTM,0.0,0,21,5,1d,1
246,GOLL4,convLSTM1D,0.0,0,21,5,1d,1
